issue,ccn,provider_name,state,ownership_category,chain_name,detail
Ownership-interest owners disclosed without any ownership percentage,265887,BAPTIST HOMES OF ADRIAN,MO,Non profit,,"1 ownership-interest rows, none with a percentage"
Ownership-interest owners disclosed without any ownership percentage,265178,OZARK REHABILITATION & HEALTH CARE CENTER,MO,For profit,,"1 ownership-interest rows, none with a percentage"
Ownership-interest owners disclosed without any ownership percentage,265181,WARRENTON MANOR,MO,For profit,JAMES & JUDY LINCOLN,"2 ownership-interest rows, none with a percentage"
Ownership-interest owners disclosed without any ownership percentage,255192,CLAIBORNE COUNTY SENIOR CARE,MS,For profit,TREND CONSULTANTS,"1 ownership-interest rows, none with a percentage"
Ownership-interest owners disclosed without any ownership percentage,255282,CLINTON HEALTHCARE LLC - SNF,MS,For profit,TREND CONSULTANTS,"2 ownership-interest rows, none with a percentage"
Ownership-interest owners disclosed without any ownership percentage,255313,DUGAN MEMORIAL HOME,MS,For profit,,"1 ownership-interest rows, none with a percentage"
Ownership-interest owners disclosed without any ownership percentage,255332,HOLMES COUNTY LONG TERM CARE CENTER - DURANT,MS,For profit,TREND CONSULTANTS,"1 ownership-interest rows, none with a percentage"
Ownership-interest owners disclosed without any ownership percentage,255327,MARTHA COKER GREEN HOUSE HOME,MS,Non profit,,"1 ownership-interest rows, none with a percentage"
Ownership-interest owners disclosed without any ownership percentage,255312,"UNION CO HEALTH AND REHAB CENTER, INC",MS,For profit,THE BEEBE FAMILY,"3 ownership-interest rows, none with a percentage"
Ownership-interest owners disclosed without any ownership percentage,255126,WILKINSON COUNTY SENIOR CARE,MS,For profit,TREND CONSULTANTS,"1 ownership-interest rows, none with a percentage"
Ownership-interest owners disclosed without any ownership percentage,345161,Abernathy Laurels,NC,Non profit,EVERYAGE SENIOR LIVING,"3 ownership-interest rows, none with a percentage"
Ownership-interest owners disclosed without any ownership percentage,345431,Bryan Health and Rehab,NC,Non profit,,"1 ownership-interest rows, none with a percentage"
Ownership-interest owners disclosed without any ownership percentage,345207,Liberty Commons Nursing and Rehabilitation Center,NC,For profit,LIBERTY SENIOR LIVING,"3 ownership-interest rows, none with a percentage"
Ownership-interest owners disclosed without any ownership percentage,345468,Liberty Commons Rehabilitation Center,NC,For profit,LIBERTY SENIOR LIVING,"2 ownership-interest rows, none with a percentage"
Ownership-interest owners disclosed without any ownership percentage,345206,Madison Health and Rehabilitation,NC,For profit,SANSTONE HEALTH & REHABILITATION,"1 ownership-interest rows, none with a percentage"
Ownership-interest owners disclosed without any ownership percentage,345048,Mountain Ridge Rehabilitation and Healthcare Cente,NC,For profit,,"2 ownership-interest rows, none with a percentage"
Ownership-interest owners disclosed without any ownership percentage,345229,Peak Resources- Shelby,NC,For profit,,"2 ownership-interest rows, none with a percentage"
Ownership-interest owners disclosed without any ownership percentage,345395,Peak Resources-Cherryville,NC,For profit,"PEAK RESOURCES, INC.","1 ownership-interest rows, none with a percentage"
Ownership-interest owners disclosed without any ownership percentage,345185,Premier Living and Rehab Center,NC,For profit,,"3 ownership-interest rows, none with a percentage"
Ownership-interest owners disclosed without any ownership percentage,345397,Shoreland Health Care and Retirement Center Inc,NC,For profit,LIBERTY SENIOR LIVING,"2 ownership-interest rows, none with a percentage"
Ownership-interest owners disclosed without any ownership percentage,345204,StoneCreek Health and Rehabilitation,NC,For profit,SANSTONE HEALTH & REHABILITATION,"1 ownership-interest rows, none with a percentage"
Ownership-interest owners disclosed without any ownership percentage,345572,The Cardinal at North Hills,NC,For profit,KISCO SENIOR LIVING,"1 ownership-interest rows, none with a percentage"
Ownership-interest owners disclosed without any ownership percentage,345284,The Oaks,NC,For profit,LIBERTY SENIOR LIVING,"4 ownership-interest rows, none with a percentage"
Ownership-interest owners disclosed without any ownership percentage,345090,Westchester Manor at Providence Place,NC,Non profit,EVERYAGE SENIOR LIVING,"1 ownership-interest rows, none with a percentage"
Ownership-interest owners disclosed without any ownership percentage,355114,NORTH DAKOTA VETERANS HOME,ND,Government,,"1 ownership-interest rows, none with a percentage"
Ownership-interest owners disclosed without any ownership percentage,355124,SHEYENNE CROSSINGS CARE CENTER/TCU,ND,Non profit,,"1 ownership-interest rows, none with a percentage"
Ownership-interest owners disclosed without any ownership percentage,355037,SMP HEALTH - ST ALOISIUS,ND,Non profit,,"1 ownership-interest rows, none with a percentage"
Ownership-interest owners disclosed without any ownership percentage,285249,"St. Joseph's Villa, Inc.",NE,Non profit,RURAL HEALTH DEVELOPMENT,"1 ownership-interest rows, none with a percentage"
Ownership-interest owners disclosed without any ownership percentage,305087,MOUNTAIN VIEW COMMUNITY,NH,Government,,"1 ownership-interest rows, none with a percentage"
Ownership-interest owners disclosed without any ownership percentage,305069,SAINT ANN REHABILITATION AND NURSING CENTER,NH,Non profit,CATHOLIC CHARITIES NEW HAMPSHIRE,"1 ownership-interest rows, none with a percentage"
Ownership-interest owners disclosed without any ownership percentage,305070,SAINT FRANCIS REHABILITATION AND NURSING CENTER,NH,Non profit,CATHOLIC CHARITIES NEW HAMPSHIRE,"1 ownership-interest rows, none with a percentage"
Ownership-interest owners disclosed without any ownership percentage,315083,ACCLAIM REHABILITATION AND NURSING CENTER,NJ,For profit,EXCELSIOR CARE GROUP,"1 ownership-interest rows, none with a percentage"
Ownership-interest owners disclosed without any ownership percentage,315198,ADROIT CARE REHABILITATION AND NURSING CENTER,NJ,For profit,EXCELSIOR CARE GROUP,"2 ownership-interest rows, none with a percentage"
Ownership-interest owners disclosed without any ownership percentage,315359,ALLIANCE CARE REHABILITATION AND NURSING CENTER,NJ,For profit,EXCELSIOR CARE GROUP,"2 ownership-interest rows, none with a percentage"
Ownership-interest owners disclosed without any ownership percentage,315214,ARISTACARE AT CEDAR OAKS,NJ,For profit,ARISTACARE,"2 ownership-interest rows, none with a percentage"
Ownership-interest owners disclosed without any ownership percentage,315414,ASTER CREEK NURSING AND REHABILITATION CENTER,NJ,For profit,,"16 ownership-interest rows, none with a percentage"
Ownership-interest owners disclosed without any ownership percentage,315477,CAREONE AT WAYNE,NJ,For profit,CAREONE,"5 ownership-interest rows, none with a percentage"
Ownership-interest owners disclosed without any ownership percentage,315425,FOOTHILL ACRES REHABILITATION & NURSING CENTER,NJ,For profit,,"1 ownership-interest rows, none with a percentage"
Ownership-interest owners disclosed without any ownership percentage,315336,"GARDENS AT MONROE HEALTHCARE AND REHABILITATION, T",NJ,For profit,,"3 ownership-interest rows, none with a percentage"
Ownership-interest owners disclosed without any ownership percentage,315416,GREEN HILL,NJ,Non profit,,"1 ownership-interest rows, none with a percentage"
Ownership-interest owners disclosed without any ownership percentage,315457,LUTHERAN SOCIAL MINISTRIES CRANES MILL,NJ,Non profit,,"1 ownership-interest rows, none with a percentage"
Ownership-interest owners disclosed without any ownership percentage,315225,RIVER FRONT REHABILITATION AND HEALTHCARE CENTER,NJ,For profit,EXCELSIOR CARE GROUP,"4 ownership-interest rows, none with a percentage"
Ownership-interest owners disclosed without any ownership percentage,315061,SOUTH JERSEY EXTENDED CARE,NJ,For profit,,"1 ownership-interest rows, none with a percentage"
Ownership-interest owners disclosed without any ownership percentage,315305,SPRING CREEK HEALTHCARE CENTER,NJ,For profit,ALLAIRE HEALTH SERVICES,"1 ownership-interest rows, none with a percentage"
Ownership-interest owners disclosed without any ownership percentage,315176,THE PINES AT MEDFORD,NJ,For profit,,"3 ownership-interest rows, none with a percentage"
Ownership-interest owners disclosed without any ownership percentage,315069,TOWER LODGE CARE CENTER,NJ,For profit,,"2 ownership-interest rows, none with a percentage"
Ownership-interest owners disclosed without any ownership percentage,315077,WILLOWBROOKE COURT SKILLED CARE AT EVERGREENS,NJ,Non profit,ACTS RETIREMENT-LIFE COMMUNITIES,"10 ownership-interest rows, none with a percentage"
Ownership-interest owners disclosed without any ownership percentage,325120,Fort Bayard Medical Center,NM,Government,,"1 ownership-interest rows, none with a percentage"
Ownership-interest owners disclosed without any ownership percentage,335416,Dry Harbor Nursing Home,NY,For profit,,"1 ownership-interest rows, none with a percentage"
Ownership-interest owners disclosed without any ownership percentage,335523,Norwegian Christian Home And Health Center,NY,Non profit,,"1 ownership-interest rows, none with a percentage"
Ownership-interest owners disclosed without any ownership percentage,335546,PRESBYTERIAN HOME FOR CENTRAL NEW YORK INC,NY,Non profit,,"1 ownership-interest rows, none with a percentage"
Ownership-interest owners disclosed without any ownership percentage,335627,TERESIAN HOUSE NURSING HOME CO INC,NY,Non profit,CARMELITE SISTERS FOR THE AGED & INFIRM,"4 ownership-interest rows, none with a percentage"
Ownership-interest owners disclosed without any ownership percentage,365271,CARRIAGE INN OF STEUBENVILLE,OH,For profit,,"5 ownership-interest rows, none with a percentage"
Ownership-interest owners disclosed without any ownership percentage,365342,Carriage Inn of Cadiz,OH,For profit,,"5 ownership-interest rows, none with a percentage"
Ownership-interest owners disclosed without any ownership percentage,366370,MILL CREEK NURSING & REHABILITATION,OH,For profit,FOUNDATIONS HEALTH SOLUTIONS,"2 ownership-interest rows, none with a percentage"
Ownership-interest owners disclosed without any ownership percentage,365681,WINDSOR LANE HEALTHCARE CENTER,OH,For profit,,"1 ownership-interest rows, none with a percentage"
Ownership-interest owners disclosed without any ownership percentage,366269,WYANDOT COUNTY SKILLED NURSING AND REHABILITATION,OH,Government,,"1 ownership-interest rows, none with a percentage"
Ownership-interest owners disclosed without any ownership percentage,375351,Aspen Health and Rehab,OK,For profit,CENTRAL ARKANSAS NURSING CENTERS,"2 ownership-interest rows, none with a percentage"
Ownership-interest owners disclosed without any ownership percentage,375491,BROADWAY LIVING CENTER,OK,For profit,,"2 ownership-interest rows, none with a percentage"
Ownership-interest owners disclosed without any ownership percentage,375140,CHECOTAH NURSING CENTER,OK,For profit,,"5 ownership-interest rows, none with a percentage"
Ownership-interest owners disclosed without any ownership percentage,375324,CHEROKEE COUNTY NURSING CENTER,OK,For profit,CENTRAL ARKANSAS NURSING CENTERS,"1 ownership-interest rows, none with a percentage"
Ownership-interest owners disclosed without any ownership percentage,375359,GLENHAVEN RETIREMENT VILLAGE,OK,For profit,,"5 ownership-interest rows, none with a percentage"
Ownership-interest owners disclosed without any ownership percentage,375425,"GREGSTON NURSING HOME, INC.",OK,For profit,,"1 ownership-interest rows, none with a percentage"
Ownership-interest owners disclosed without any ownership percentage,375234,"HILL NURSING HOME, INC.",OK,For profit,,"1 ownership-interest rows, none with a percentage"
Ownership-interest owners disclosed without any ownership percentage,375528,SENIOR SUITES HEALTHCARE,OK,For profit,,"4 ownership-interest rows, none with a percentage"
Ownership-interest owners disclosed without any ownership percentage,375440,SUNSET ESTATES OF PURCELL,OK,For profit,,"2 ownership-interest rows, none with a percentage"
Ownership-interest owners disclosed without any ownership percentage,375545,TOWN OF VICI NURSING HOME,OK,Government,,"1 ownership-interest rows, none with a percentage"
Ownership-interest owners disclosed without any ownership percentage,375489,The Cottage Extended Care,OK,For profit,,"1 ownership-interest rows, none with a percentage"
Ownership-interest owners disclosed without any ownership percentage,375369,WAGONER HEALTH & REHAB,OK,For profit,BRADFORD MONTGOMERY,"1 ownership-interest rows, none with a percentage"
Ownership-interest owners disclosed without any ownership percentage,385218,MARQUIS VERMONT HILLS,OR,For profit,MARQUIS COMPANIES,"2 ownership-interest rows, none with a percentage"
Ownership-interest owners disclosed without any ownership percentage,396067,CONCORDIA AT REBECCA RESIDENCE,PA,Non profit,CONCORDIA LUTHERAN MINISTRIES,"1 ownership-interest rows, none with a percentage"
Ownership-interest owners disclosed without any ownership percentage,396059,CONCORDIA AT THE CEDARS,PA,Non profit,CONCORDIA LUTHERAN MINISTRIES,"1 ownership-interest rows, none with a percentage"
Ownership-interest owners disclosed without any ownership percentage,396026,CONCORDIA AT VILLA ST JOSEPH,PA,Non profit,CONCORDIA LUTHERAN MINISTRIES,"1 ownership-interest rows, none with a percentage"
Ownership-interest owners disclosed without any ownership percentage,396089,CONCORDIA OF THE SOUTH HILLS,PA,Non profit,CONCORDIA LUTHERAN MINISTRIES,"1 ownership-interest rows, none with a percentage"
Ownership-interest owners disclosed without any ownership percentage,395108,"CROSS KEYS VILLAGE-BRETHREN HOME COMMUNITY, THE",PA,Non profit,,"1 ownership-interest rows, none with a percentage"
Ownership-interest owners disclosed without any ownership percentage,395876,CUMBERLAND CROSSINGS RETIREMENT COMMUNITY,PA,Non profit,,"2 ownership-interest rows, none with a percentage"
Ownership-interest owners disclosed without any ownership percentage,395838,Foxdale Village,PA,Non profit,FRIENDS SERVICES FOR THE AGING,"1 ownership-interest rows, none with a percentage"
Ownership-interest owners disclosed without any ownership percentage,395018,GOOD SHEPHERD HOME RAKER CENTER,PA,Non profit,,"1 ownership-interest rows, none with a percentage"
Ownership-interest owners disclosed without any ownership percentage,396108,GOOD SHEPHERD HOME-BETHLEHEM,PA,Non profit,,"1 ownership-interest rows, none with a percentage"
Ownership-interest owners disclosed without any ownership percentage,396138,Harmony Physical Rehabilitation,PA,Non profit,CONCORDIA LUTHERAN MINISTRIES,"1 ownership-interest rows, none with a percentage"
Ownership-interest owners disclosed without any ownership percentage,395134,INGLIS HOUSE,PA,Non profit,,"1 ownership-interest rows, none with a percentage"
Ownership-interest owners disclosed without any ownership percentage,395916,Kirkland Village,PA,Non profit,PRESBYTERIAN SENIOR LIVING,"1 ownership-interest rows, none with a percentage"
Ownership-interest owners disclosed without any ownership percentage,395882,LONGWOOD AT OAKMONT,PA,Non profit,PRESBYTERIAN SENIORCARE NETWORK,"1 ownership-interest rows, none with a percentage"
Ownership-interest owners disclosed without any ownership percentage,395996,MANCHESTER COMMONS OF PRESBYTERIAN SENIORCARE,PA,Non profit,PRESBYTERIAN SENIORCARE NETWORK,"1 ownership-interest rows, none with a percentage"
Ownership-interest owners disclosed without any ownership percentage,395998,MISERICORDIA NURSING & REHABILITATION CENTER,PA,Non profit,,"1 ownership-interest rows, none with a percentage"
Ownership-interest owners disclosed without any ownership percentage,396096,MORAVIAN VILLAGE OF BETHLEHEM,PA,Non profit,,"1 ownership-interest rows, none with a percentage"
Ownership-interest owners disclosed without any ownership percentage,395080,PHOEBE ALLENTOWN HEALTH CARE CENTER,PA,Non profit,,"4 ownership-interest rows, none with a percentage"
Ownership-interest owners disclosed without any ownership percentage,395851,REHAB & NURSING CTR GREATER PITTSBURGH,PA,For profit,CAREONE,"5 ownership-interest rows, none with a percentage"
Ownership-interest owners disclosed without any ownership percentage,395671,SOUTHMONT OF PRESBYTERIAN SENIORCARE,PA,Non profit,PRESBYTERIAN SENIORCARE NETWORK,"1 ownership-interest rows, none with a percentage"
Ownership-interest owners disclosed without any ownership percentage,395585,TRANSITIONS HEALTHCARE NORTH HUNTINGDON,PA,For profit,TRANSITIONS HEALTHCARE,"3 ownership-interest rows, none with a percentage"
Ownership-interest owners disclosed without any ownership percentage,395787,"VALLEY VIEW HAVEN, INC",PA,Non profit,,"1 ownership-interest rows, none with a percentage"
Ownership-interest owners disclosed without any ownership percentage,395496,WILLOWBROOKE CTSKDCARECTR AT FORTWASHINGTONESTATES,PA,Non profit,ACTS RETIREMENT-LIFE COMMUNITIES,"11 ownership-interest rows, none with a percentage"
Ownership-interest owners disclosed without any ownership percentage,395713,WILLOWS OF PRESBYTERIAN SENIOR,PA,Non profit,PRESBYTERIAN SENIORCARE NETWORK,"1 ownership-interest rows, none with a percentage"
Ownership-interest owners disclosed without any ownership percentage,415106,St Antoine Residence,RI,Non profit,,"1 ownership-interest rows, none with a percentage"
Ownership-interest owners disclosed without any ownership percentage,425360,C M Tucker Jr  Nursing Care Center  Roddey Pavilio,SC,Government,,"1 ownership-interest rows, none with a percentage"
Ownership-interest owners disclosed without any ownership percentage,425316,Golden Age Operations,SC,For profit,,"9 ownership-interest rows, none with a percentage"
Ownership-interest owners disclosed without any ownership percentage,425122,Inman Healthcare,SC,For profit,,"9 ownership-interest rows, none with a percentage"
Ownership-interest owners disclosed without any ownership percentage,425341,Lake Moultrie Nursing Home,SC,Government,,"1 ownership-interest rows, none with a percentage"
Ownership-interest owners disclosed without any ownership percentage,425312,MUSC Health Mullins Nursing Home,SC,Government,,"1 ownership-interest rows, none with a percentage"
Ownership-interest owners disclosed without any ownership percentage,425176,Medford Nursing Center,SC,For profit,WILSON SENIOR CARE,"1 ownership-interest rows, none with a percentage"
Ownership-interest owners disclosed without any ownership percentage,425027,Mountainview Nursing Home,SC,Non profit,,"1 ownership-interest rows, none with a percentage"
Ownership-interest owners disclosed without any ownership percentage,425064,Oakhaven Nursing Center,SC,For profit,WILSON SENIOR CARE,"1 ownership-interest rows, none with a percentage"
Ownership-interest owners disclosed without any ownership percentage,425114,Pocotaligo River Health And Rehab,SC,Non profit,,"1 ownership-interest rows, none with a percentage"
Ownership-interest owners disclosed without any ownership percentage,425393,Presbyterian Communities Of South Carolina- Clinto,SC,Non profit,PRESBYTERIAN COMMUNITIES OF SOUTH CAROLINA,"1 ownership-interest rows, none with a percentage"
Ownership-interest owners disclosed without any ownership percentage,425403,Presbyterian Home Of SC - Foothills,SC,Non profit,PRESBYTERIAN COMMUNITIES OF SOUTH CAROLINA,"1 ownership-interest rows, none with a percentage"
Ownership-interest owners disclosed without any ownership percentage,435070,AVERA SISTER JAMES CARE CENTER,SD,Non profit,AVERA HEALTH,"3 ownership-interest rows, none with a percentage"
Ownership-interest owners disclosed without any ownership percentage,445189,KIRBY PINES MANOR,TN,Non profit,,"1 ownership-interest rows, none with a percentage"
Ownership-interest owners disclosed without any ownership percentage,445410,KNOLLWOOD MANOR,TN,For profit,,"2 ownership-interest rows, none with a percentage"
Ownership-interest owners disclosed without any ownership percentage,445128,"NHC HEALTHCARE, OAK RIDGE",TN,For profit,NATIONAL HEALTHCARE CORPORATION,"1 ownership-interest rows, none with a percentage"
Ownership-interest owners disclosed without any ownership percentage,445508,OBION COUNTY NURSING HOME,TN,Government,,"1 ownership-interest rows, none with a percentage"
Ownership-interest owners disclosed without any ownership percentage,445503,PERRY COUNTY NURSING HOME,TN,For profit,,"1 ownership-interest rows, none with a percentage"
Ownership-interest owners disclosed without any ownership percentage,445316,Riverview Post Acute,TN,For profit,,"2 ownership-interest rows, none with a percentage"
Ownership-interest owners disclosed without any ownership percentage,445510,WHARTON NURSING HOME,TN,Non profit,,"1 ownership-interest rows, none with a percentage"
Ownership-interest owners disclosed without any ownership percentage,445513,WHITE HOUSE HEALTH CARE INC,TN,For profit,,"2 ownership-interest rows, none with a percentage"
Ownership-interest owners disclosed without any ownership percentage,455849,ADVANCED REHABILITATION AND HEALTHCARE OF BOWIE,TX,Government,ADVANCED HEALTHCARE SOLUTIONS,"1 ownership-interest rows, none with a percentage"
Ownership-interest owners disclosed without any ownership percentage,455931,ADVANCED REHABILITATION AND HEALTHCARE OF VERNON,TX,For profit,ADVANCED HEALTHCARE SOLUTIONS,"1 ownership-interest rows, none with a percentage"
Ownership-interest owners disclosed without any ownership percentage,675619,AVIR AT BURNET,TX,For profit,AVIR HEALTH GROUP,"2 ownership-interest rows, none with a percentage"
Ownership-interest owners disclosed without any ownership percentage,676437,Accel at College Station,TX,For profit,HMG HEALTHCARE,"1 ownership-interest rows, none with a percentage"
Ownership-interest owners disclosed without any ownership percentage,675424,Advanced Rehabilitation and Healthcare of Athens,TX,Government,ADVANCED HEALTHCARE SOLUTIONS,"1 ownership-interest rows, none with a percentage"
Ownership-interest owners disclosed without any ownership percentage,676164,Avir at Bellville,TX,For profit,AVIR HEALTH GROUP,"1 ownership-interest rows, none with a percentage"
Ownership-interest owners disclosed without any ownership percentage,675038,CLYDE NURSING CENTER,TX,For profit,ADVANCED HEALTHCARE SOLUTIONS,"1 ownership-interest rows, none with a percentage"
Ownership-interest owners disclosed without any ownership percentage,676227,COPPERAS HOLLOW NURSING & REHABILITATION CENTER,TX,For profit,CREATIVE SOLUTIONS IN HEALTHCARE,"1 ownership-interest rows, none with a percentage"
Ownership-interest owners disclosed without any ownership percentage,455631,Colonial Manor Nursing Center,TX,Government,RUBY HEALTHCARE,"1 ownership-interest rows, none with a percentage"
Ownership-interest owners disclosed without any ownership percentage,455815,Fallbrook Rehabilitation and Care Center,TX,Government,,"1 ownership-interest rows, none with a percentage"
Ownership-interest owners disclosed without any ownership percentage,675153,HERITAGE HOUSE AT KELLER REHAB & NURSING,TX,Government,ADVANCED HEALTHCARE SOLUTIONS,"1 ownership-interest rows, none with a percentage"
Ownership-interest owners disclosed without any ownership percentage,455351,Legacy Nursing and Rehabilitation,TX,For profit,LEGACY NURSING & REHABILITATION,"5 ownership-interest rows, none with a percentage"
Ownership-interest owners disclosed without any ownership percentage,675061,MUNDAY NURSING CENTER,TX,Government,,"1 ownership-interest rows, none with a percentage"
Ownership-interest owners disclosed without any ownership percentage,455961,PALO PINTO NURSING CENTER,TX,For profit,ADVANCED HEALTHCARE SOLUTIONS,"1 ownership-interest rows, none with a percentage"
Ownership-interest owners disclosed without any ownership percentage,676175,PERMIAN RESIDENTIAL CARE CENTER,TX,Government,,"1 ownership-interest rows, none with a percentage"
Ownership-interest owners disclosed without any ownership percentage,455606,Park View Care Center,TX,For profit,RUBY HEALTHCARE,"1 ownership-interest rows, none with a percentage"
Ownership-interest owners disclosed without any ownership percentage,676114,RIVER HILLS HEALTH AND REHABILITATION CENTER,TX,For profit,,"1 ownership-interest rows, none with a percentage"
Ownership-interest owners disclosed without any ownership percentage,675042,SEYMOUR REHABILITATION AND HEALTHCARE,TX,Government,ADVANCED HEALTHCARE SOLUTIONS,"1 ownership-interest rows, none with a percentage"
Ownership-interest owners disclosed without any ownership percentage,455957,Santa Fe Health & Rehabilitation Center,TX,For profit,ADVANCED HEALTHCARE SOLUTIONS,"1 ownership-interest rows, none with a percentage"
Ownership-interest owners disclosed without any ownership percentage,675440,South Dallas Nursing & Rehabilitation,TX,For profit,,"7 ownership-interest rows, none with a percentage"
Ownership-interest owners disclosed without any ownership percentage,676327,The Springs Healthcare and Rehabilitation,TX,For profit,ML HEALTHCARE,"1 ownership-interest rows, none with a percentage"
Ownership-interest owners disclosed without any ownership percentage,675933,Treasure Hills Healthcare and Rehabilitation Cente,TX,For profit,THE ENSIGN GROUP,"1 ownership-interest rows, none with a percentage"
Ownership-interest owners disclosed without any ownership percentage,675939,Vintage Health Care Center,TX,For profit,CREATIVE SOLUTIONS IN HEALTHCARE,"1 ownership-interest rows, none with a percentage"
Ownership-interest owners disclosed without any ownership percentage,455572,WEDGEWOOD NURSING HOME,TX,Government,RUBY HEALTHCARE,"1 ownership-interest rows, none with a percentage"
Ownership-interest owners disclosed without any ownership percentage,455475,WHITE SETTLEMENT NURSING CENTER,TX,For profit,RUBY HEALTHCARE,"1 ownership-interest rows, none with a percentage"
Ownership-interest owners disclosed without any ownership percentage,675624,WHITEHALL REHAB & NURSING,TX,For profit,ADVANCED HEALTHCARE SOLUTIONS,"1 ownership-interest rows, none with a percentage"
Ownership-interest owners disclosed without any ownership percentage,675976,Winfield Rehab & Nursing,TX,For profit,ADVANCED HEALTHCARE SOLUTIONS,"1 ownership-interest rows, none with a percentage"
Ownership-interest owners disclosed without any ownership percentage,465086,Mountain View Health Services,UT,For profit,,"2 ownership-interest rows, none with a percentage"
Ownership-interest owners disclosed without any ownership percentage,495390,BIRMINGHAM GREEN,VA,Government,,"1 ownership-interest rows, none with a percentage"
Ownership-interest owners disclosed without any ownership percentage,495359,DOGWOOD VILLAGE OF ORANGE COUNTY HEALTH AND REHAB,VA,Government,,"1 ownership-interest rows, none with a percentage"
Ownership-interest owners disclosed without any ownership percentage,495274,Davis and McDaniel Veterans Care Center,VA,Government,,"1 ownership-interest rows, none with a percentage"
Ownership-interest owners disclosed without any ownership percentage,495057,GOODWIN HOUSE ALEXANDRIA,VA,Non profit,,"1 ownership-interest rows, none with a percentage"
Ownership-interest owners disclosed without any ownership percentage,495350,HERITAGE HALL WISE,VA,For profit,HERITAGE HALL,"1 ownership-interest rows, none with a percentage"
Ownership-interest owners disclosed without any ownership percentage,495366,"LAKE PRINCE WOODS, INC",VA,For profit,EVERYAGE SENIOR LIVING,"1 ownership-interest rows, none with a percentage"
Ownership-interest owners disclosed without any ownership percentage,495071,RIVERSIDE LIFELONG H & R WARWICK FOREST,VA,Non profit,RIVERSIDE HEALTH SYSTEM,"1 ownership-interest rows, none with a percentage"
Ownership-interest owners disclosed without any ownership percentage,495369,RIVERSIDE LIFELONG HEALTH & REHABILITATION PATRI,VA,Non profit,RIVERSIDE HEALTH SYSTEM,"1 ownership-interest rows, none with a percentage"
Ownership-interest owners disclosed without any ownership percentage,495393,SITTER AND BARFOOT VETERANS CARE CENTER,VA,Government,,"1 ownership-interest rows, none with a percentage"
Ownership-interest owners disclosed without any ownership percentage,495096,WESTMINSTER-CANTERBURY OF RICHMOND,VA,Non profit,,"1 ownership-interest rows, none with a percentage"
Ownership-interest owners disclosed without any ownership percentage,505232,WOODLAND CONVALESCENT CENTER,WA,For profit,,"1 ownership-interest rows, none with a percentage"
Ownership-interest owners disclosed without any ownership percentage,525290,ORCHARD MANOR,WI,Government,,"1 ownership-interest rows, none with a percentage"
Ownership-interest owners disclosed without any ownership percentage,525114,Sauk Co Health Care Center,WI,Government,,"1 ownership-interest rows, none with a percentage"
Ownership-interest owners disclosed without any ownership percentage,525370,TWIN PORTS HEALTH SERVICES,WI,For profit,NORTH SHORE HEALTHCARE,"1 ownership-interest rows, none with a percentage"
Ownership-interest owners disclosed without any ownership percentage,515025,ELKINS REHABILITATION & CARE CENTER,WV,Non profit,,"13 ownership-interest rows, none with a percentage"
Ownership-interest owners disclosed without any ownership percentage,515080,HAMPSHIRE MEMORIAL HOSPITAL,WV,Non profit,,"1 ownership-interest rows, none with a percentage"
Ownership-interest owners disclosed without any ownership percentage,515051,ST. JOSEPH'S HOSPITAL,WV,Non profit,WVU MEDICINE,"1 ownership-interest rows, none with a percentage"
Ownership-interest owners disclosed without any ownership percentage,515140,TRINITY HEALTH CARE OF LOGAN,WV,For profit,,"2 ownership-interest rows, none with a percentage"
"PE or REIT owner disclosed in PECOS, Care Compare lists individuals only",165196,Grandview Healthcare Center,IA,For profit,,"ARBORETA HEALTHCARE, INC"
"PE or REIT owner disclosed in PECOS, Care Compare lists individuals only",366409,Kingston Health Center of Perrysburg,OH,For profit,,AMERICAN HEALTHCARE REIT INC; TRILOGY REAL ESTATE INVESTMENT TRUST
"PE or REIT owner disclosed in PECOS, Care Compare lists individuals only",395015,Friendship Rehab and Health,PA,For profit,,AG GROUP ASSOCIATES LLC
PECOS enrollment lists no ownership-interest party,025031,SOUTH PENINSULA HOSPITAL LTC,AK,Government,,Roles listed: ADP OF THE SNF; CORPORATE DIRECTOR; CORPORATE OFFICER; OPERATIONAL/MANAGERIAL CONTROL
PECOS enrollment lists no ownership-interest party,025037,YUKON KUSKOKWIM ELDER'S HOME,AK,Non profit,,Roles listed: CORPORATE DIRECTOR; OPERATIONAL/MANAGERIAL CONTROL; W-2 MANAGING EMPLOYEE
PECOS enrollment lists no ownership-interest party,015215,BIBB MEDICAL CENTER NURSING HOME,AL,Government,,Roles listed: ADP OF THE SNF; CORPORATE OFFICER; MANAGING CONTROL - GOVERNING BODY; OPERATIONAL/MANAGERIAL CONTROL
PECOS enrollment lists no ownership-interest party,015124,CLAY COUNTY NURSING HOME,AL,Non profit,,Roles listed: CORPORATE DIRECTOR; OPERATIONAL/MANAGERIAL CONTROL; W-2 MANAGING EMPLOYEE
PECOS enrollment lists no ownership-interest party,015053,CLEBURNE COUNTY NURSING HOME,AL,Government,,Roles listed: ADP OF THE SNF; CORPORATE DIRECTOR; OPERATIONAL/MANAGERIAL CONTROL
PECOS enrollment lists no ownership-interest party,015320,ENTERPRISE HEALTH & REHABILITATION CENTER,AL,Non profit,,Roles listed: CORPORATE DIRECTOR; W-2 MANAGING EMPLOYEE
